1password 8.10.26-39
adwaita-qt5 1.4.2-1
brave-bin 1:1.63.162-1
cava 0.10.1-1
gobuster 3.6.0-1
google-chrome 123.0.6312.58-1
gotop 4.2.0-1
i3lock-color 2.13.c.5-1
lazydocker 0.23.1-1
light 1.2.2-5
mongodb-bin 7.0.5-1
pfetch 0.6.0-3
picom-ibhagwan-git 1578_Next.297.gc4107bb_2021.11.03-1
pipes.sh 1.3.0-1
protonmail-desktop 1.0.1.beta-1
protonmail-desktop-debug 1.0.1.beta-1
python-conda 23.1.0-1
spotify 1:1.2.31.1205-2
st 0.9-4
sublime-text-4 4.4169-1
sublime-text-4-debug 4.4169-1
unimatrix-git r69.4cc40bb-1
unityhub 3.7.0-1
visual-studio-code-bin 1.86.2-1
wasm3 0.5.0-1
